IFSP,Campus Avaré,Qualificação Profissional (FIC),Matutino,Desenvolvimento Educacional e Social,Desenvolvimento Educacional e Social,1,1,108,3,108,108,108,95,2023
IFSP,Campus Avaré,Qualificação Profissional (FIC),Matutino,Informação e Comunicação,Informação e Comunicação,1,1,50,2,50,54,50,50,2023
IFSP,Campus Avaré,Qualificação Profissional (FIC),Matutino,Produção Alimentícia,Produção Alimentícia,1,1,50,2,50,54,50,50,2023
IFSP,Campus Avaré,Qualificação Profissional (FIC),Matutino,"Turismo, Hospitalidade e Lazer","Turismo, Hospitalidade e Lazer",1,1,32,1,32,32,32,8,2023
IFSP,Campus Avaré,Qualificação Profissional (FIC),Não se aplica,Informação e Comunicação,Informação e Comunicação,1,1,53,3,79,202,53,10,2023
IFSP,Campus Avaré,Qualificação Profissional (FIC),Não se aplica,Informação e Comunicação,Informática,1,1,23,1,23,23,23,2,2023
IFSP,Campus Avaré,Qualificação Profissional (FIC),Não se aplica,"Turismo, Hospitalidade e Lazer",Eventos,1,1,1,0,,,,1,2023
IFSP,Campus Avaré,Qualificação Profissional (FIC),Não se aplica,"Turismo, Hospitalidade e Lazer","Turismo, Hospitalidade e Lazer",1,1,94,20,105,2000,94,69,2023
IFSP,Campus Avaré,Qualificação Profissional (FIC),Noturno,Desenvolvimento Educacional e Social,Desenvolvimento Educacional e Social,1,1,19,0,19,19,19,19,2023
IFSP,Campus Avaré,Qualificação Profissional (FIC),Noturno,"Turismo, Hospitalidade e Lazer","Turismo, Hospitalidade e Lazer",1,3,126,124,96,97,91,81,2023
IFSP,Campus Avaré,Qualificação Profissional (FIC),Vespertino,Desenvolvimento Educacional e Social,Desenvolvimento Educacional e Social,1,2,169,8,178,180,169,112,2023
IFSP,Campus Avaré,Qualificação Profissional (FIC),Vespertino,Informação e Comunicação,Informação e Comunicação,1,1,45,6,45,52,45,9,2023
IFSP,Campus Avaré,Qualificação Profissional (FIC),Vespertino,Produção Alimentícia,Produção Alimentícia,1,1,14,0,14,14,14,13,2023
IFSP,Campus Avaré,Qualificação Profissional (FIC),Vespertino,Recursos Naturais,Recursos Naturais,1,1,66,2,66,66,66,31,2023
IFSP,Campus Avaré,Qualificação Profissional (FIC),Vespertino,"Turismo, Hospitalidade e Lazer","Turismo, Hospitalidade e Lazer",1,2,147,10,147,171,147,137,2023
IFSP,Campus Avaré,Técnico,Integral,Controle e Processos Industriais,Automação,1,1,121,150,40,163,40,36,2023
IFSP,Campus Avaré,Técnico,Integral,Produção Alimentícia,Agroindustria,1,1,121,125,41,155,41,33,2023
IFSP,Campus Avaré,Técnico,Integral,"Turismo, Hospitalidade e Lazer",Lazer,1,1,121,134,40,118,40,36,2023
IFSP,Campus Avaré,Técnico,Noturno,Controle e Processos Industriais,Mecânica,1,1,83,103,40,79,38,11,2023
IFSP,Campus Avaré,Técnico,Noturno,"Turismo, Hospitalidade e Lazer",Eventos,1,1,58,58,40,38,20,8,2023
IFSP,Campus Avaré,Tecnologia,Matutino,"Turismo, Hospitalidade e Lazer",Hospitalidade,1,1,87,87,42,206,43,5,2023
IFSP,Campus Avaré,Tecnologia,Noturno,Recursos Naturais,Agrícola,1,1,146,148,41,139,37,18,2023
IFSP,Campus Avaré,Tecnologia,Vespertino,"Turismo, Hospitalidade e Lazer",Hospitalidade,1,1,15,15,,,,7,2023
IFSP,Campus Barretos,Bacharelado,Matutino,Recursos Naturais,Agrícola,1,1,188,199,44,603,44,19,2023
IFSP,Campus Barretos,Especialização (Lato Sensu),Não se aplica,Desenvolvimento Educacional e Social,Desenvolvimento Educacional e Social,1,1,385,385,,,,210,2023
IFSP,Campus Barretos,Especialização (Lato Sensu),Noturno,Informação e Comunicação,Informação e Comunicação,1,1,55,55,40,39,29,,2023
IFSP,Campus Barretos,Licenciatura,Matutino,Desenvolvimento Educacional e Social,Desenvolvimento Educacional,1,1,125,131,41,214,41,9,2023
IFSP,Campus Barretos,Licenciatura,Noturno,Desenvolvimento Educacional e Social,Desenvolvimento Educacional,1,1,95,102,44,123,44,5,2023
IFSP,Campus Barretos,Qualificação Profissional (FIC),Não se aplica,Desenvolvimento Educacional e Social,Desenvolvimento Educacional,1,2,3066,168,1500,760,760,594,2023
IFSP,Campus Barretos,Qualificação Profissional (FIC),Não se aplica,Desenvolvimento Educacional e Social,Desenvolvimento Educacional e Social,1,2,252,17,260,244,241,251,2023
IFSP,Campus Barretos,Qualificação Profissional (FIC),Não se aplica,Gestão e Negócios,Gestão e Negócios,1,1,40,4,40,40,40,2,2023
IFSP,Campus Barretos,Qualificação Profissional (FIC),Não se aplica,Informação e Comunicação,Informação e Comunicação,1,2,2866,176,939,812,794,414,2023
IFSP,Campus Barretos,Qualificação Profissional (FIC),Não se aplica,Informação e Comunicação,Informática,1,2,1882,117,349,276,276,199,2023
IFSP,Campus Barretos,Qualificação Profissional (FIC),Noturno,Desenvolvimento Educacional e Social,Desenvolvimento Educacional,1,3,52,5,200,56,52,37,2023
IFSP,Campus Barretos,Qualificação Profissional (FIC),Noturno,Desenvolvimento Educacional e Social,Desenvolvimento Social,1,2,138,74,70,70,70,138,2023
IFSP,Campus Barretos,Qualificação Profissional (FIC),Noturno,Informação e Comunicação,Informação e Comunicação,1,1,81,4,98,81,81,38,2023
IFSP,Campus Barretos,Qualificação Profissional (FIC),Noturno,"Turismo, Hospitalidade e Lazer","Turismo, Hospitalidade e Lazer",1,1,18,1,80,18,18,18,2023
IFSP,Campus Barretos,Qualificação Profissional (FIC),Vespertino,Desenvolvimento Educacional e Social,Desenvolvimento Educacional,1,1,122,10,159,123,122,20,2023
IFSP,Campus Barretos,Qualificação Profissional (FIC),Vespertino,"Turismo, Hospitalidade e Lazer","Turismo, Hospitalidade e Lazer",1,1,12,1,80,12,12,12,2023
IFSP,Campus Barretos,Técnico,Integral,Informação e Comunicação,Informática,1,1,115,121,40,204,31,39,2023
IFSP,Campus Barretos,Técnico,Integral,Produção Alimentícia,Alimentos,1,1,215,235,79,134,71,60,2023
IFSP,Campus Barretos,Técnico,Integral,Recursos Naturais,Agrícola,1,1,226,230,80,266,74,52,2023
IFSP,Campus Barretos,Técnico,Noturno,Recursos Naturais,Agrícola,1,1,1,1,,,,1,2023
IFSP,Campus Barretos,Técnico,Noturno,"Turismo, Hospitalidade e Lazer",Hospitalidade,1,1,51,51,40,72,12,4,2023
IFSP,Campus Barretos,Tecnologia,Noturno,Informação e Comunicação,Informática,1,1,117,120,42,383,42,8,2023
IFSP,Campus Barretos,Tecnologia,Noturno,"Turismo, Hospitalidade e Lazer",Turismo,1,1,68,69,38,101,29,11,2023
IFSP,Campus Bauru,Qualificação Profissional (FIC),Integral,Recursos Naturais,Pesca,1,1,20,0,20,20,20,17,2023
IFSP,Campus Birigui,Bacharelado,Integral,Informação e Comunicação,Informática,1,1,191,236,43,226,45,22,2023
IFSP,Campus Birigui,Bacharelado,Matutino,Informação e Comunicação,Informática,1,1,1,,43,226,,,2023
IFSP,Campus Birigui,Especialização (Lato Sensu),Não se aplica,Desenvolvimento Educacional e Social,Desenvolvimento Educacional e Social,1,1,30,30,30,62,30,,2023
IFSP,Campus Birigui,Licenciatura,Noturno,Desenvolvimento Educacional e Social,Desenvolvimento Educacional,1,2,184,186,80,84,65,22,2023
IFSP,Campus Birigui,Qualificação Profissional (FIC),Matutino,Informação e Comunicação,Informação e Comunicação,1,1,45,2,45,45,45,45,2023
IFSP,Campus Birigui,Qualificação Profissional (FIC),Noturno,Ambiente e Saúde,Ambiente e Saúde,1,1,91,4,125,93,91,56,2023
IFSP,Campus Birigui,Qualificação Profissional (FIC),Vespertino,Ambiente e Saúde,Ambiente e Saúde,1,2,82,4,95,84,82,75,2023
IFSP,Campus Birigui,Qualificação Profissional (FIC),Vespertino,Controle e Processos Industriais,Controle e Processos Industriais,1,2,48,3,48,120,48,37,2023
IFSP,Campus Birigui,Qualificação Profissional (FIC),Vespertino,Desenvolvimento Educacional e Social,Desenvolvimento Educacional e Social,1,1,68,8,68,86,68,67,2023
IFSP,Campus Birigui,Técnico,Integral,Gestão e Negócios,Gestão e Negócios,1,1,123,123,40,154,41,41,2023
IFSP,Campus Birigui,Técnico,Integral,Informação e Comunicação,Informática,1,1,118,124,40,162,40,37,2023
IFSP,Campus Birigui,Técnico,Noturno,Controle e Processos Industriais,Automação,1,1,86,101,80,58,42,6,2023
IFSP,Campus Birigui,Técnico,Noturno,Gestão e Negócios,Gestão e Negócios,1,2,168,169,120,125,98,35,2023
IFSP,Campus Birigui,Tecnologia,Noturno,Controle e Processos Industriais,Automação,1,1,93,139,40,92,41,8,2023
IFSP,Campus Birigui,Tecnologia,Noturno,Informação e Comunicação,Informática,1,1,139,149,40,116,43,14,2023
IFSP,Campus Boituva,Bacharelado,Noturno,Controle e Processos Industriais,Mecânica,1,1,120,123,51,59,48,,2023
IFSP,Campus Boituva,Especialização (Lato Sensu),Noturno,Informação e Comunicação,Informação e Comunicação,1,1,42,42,25,19,19,7,2023
IFSP,Campus Boituva,Licenciatura,Matutino,Desenvolvimento Educacional e Social,Desenvolvimento Educacional,1,1,90,95,,,2,23,2023
IFSP,Campus Boituva,Licenciatura,Não se aplica,Desenvolvimento Educacional e Social,Desenvolvimento Educacional,1,1,427,454,,,,20,2023
IFSP,Campus Boituva,Licenciatura,Noturno,Desenvolvimento Educacional e Social,Desenvolvimento Educacional,1,1,39,41,40,41,39,1,2023
IFSP,Campus Boituva,Qualificação Profissional (FIC),Não se aplica,Controle e Processos Industriais,Mecânica,1,1,42,1,40,103,42,9,2023
IFSP,Campus Boituva,Qualificação Profissional (FIC),Não se aplica,Segurança,Segurança,1,1,28,1,36,33,28,23,2023
IFSP,Campus Boituva,Qualificação Profissional (FIC),Noturno,Gestão e Negócios,Gestão e Negócios,1,1,7,0,40,14,7,5,2023
IFSP,Campus Boituva,Qualificação Profissional (FIC),Noturno,Informação e Comunicação,Informação e Comunicação,1,1,2,0,20,12,2,2,2023
IFSP,Campus Boituva,Qualificação Profissional (FIC),Noturno,Segurança,Segurança,1,1,16,0,26,40,16,5,2023
IFSP,Campus Boituva,Qualificação Profissional (FIC),Vespertino,Controle e Processos Industriais,Automação,1,1,7,0,13,14,7,6,2023
IFSP,Campus Boituva,Qualificação Profissional (FIC),Vespertino,Informação e Comunicação,Informática,1,1,12,0,20,22,12,3,2023
IFSP,Campus Boituva,Técnico,Integral,Controle e Processos Industriais,Automação,1,1,121,143,42,177,42,38,2023
IFSP,Campus Boituva,Técnico,Integral,Informação e Comunicação,Informática,1,1,114,117,40,317,40,36,2023
IFSP,Campus Boituva,Técnico,Integral,Recursos Naturais,Agrícola,1,1,31,31,,,,31,2023
IFSP,Campus Boituva,Técnico,Não se aplica,Desenvolvimento Educacional e Social,Desenvolvimento Educacional,1,1,30,30,,,,24,2023
IFSP,Campus Boituva,Técnico,Noturno,Controle e Processos Industriais,Automação,1,2,134,158,81,124,68,16,2023
